borough,community_board,n,median_days,p75_days,slow_index
QUEENS,10 QUEENS,3559,0.9410185185185185,3.0674884259259256,1.245920745920746
QUEENS,03 QUEENS,3742,0.72015625,2.590396412037037,1.2236776286641224
BRONX,04 BRONX,9630,1.759722222222222,5.835,1.206220943471346
QUEENS,04 QUEENS,3635,0.9948032407407408,3.3189814814814818,1.1943473193473193
BRONX,05 BRONX,8456,1.2724189814814815,3.057847222222222,1.1895295821005585
BRONX,12 BRONX,7199,1.0082407407407408,3.1472743055555554,1.1687890351441352
BROOKLYN,02 BROOKLYN,3767,0.7275694444444444,3.0870023148148142,1.166545865398964
QUEENS,05 QUEENS,4940,0.9499652777777778,3.4877256944444444,1.1478031628738057
QUEENS,13 QUEENS,4964,0.9760474537037038,3.057352430555556,1.1281341970024021
BROOKLYN,12 BROOKLYN,4224,0.9208796296296295,3.1309288194444442,1.1261799550287295
QUEENS,07 QUEENS,5672,1.010949074074074,3.6050810185185185,1.120267041088226
BRONX,06 BRONX,6151,1.4422569444444446,4.645827546296296,1.1201770827846602
BRONX,10 BRONX,3734,1.114068287037037,3.977175925925926,1.1111407192649598
BROOKLYN,09 BROOKLYN,4619,1.3568749999999998,4.782986111111111,1.1013112913399787
QUEENS,12 QUEENS,6835,0.9092476851851852,3.0175462962962967,1.0888694638694638
BRONX,01 BRONX,4457,1.0662847222222223,4.931377314814815,1.079968601978692
QUEENS,11 QUEENS,2913,0.975,3.052071759259259,1.0783799533799532
QUEENS,08 QUEENS,3991,0.8900578703703704,2.9411863425925926,1.0677157026683244
BROOKLYN,14 BROOKLYN,7357,1.1733564814814814,3.839166666666667,1.0454545454545454
BROOKLYN,11 BROOKLYN,3917,0.8659722222222223,3.010810185185185,1.0391459074733094
QUEENS,01 QUEENS,5820,0.9110474537037038,2.9143605324074073,1.0369802658637715
BROOKLYN,08 BROOKLYN,4157,1.5736226851851853,5.856701388888889,1.0293344195286482
QUEENS,09 QUEENS,3900,0.9066261574074075,3.2679340277777778,1.028001023257797
BROOKLYN,01 BROOKLYN,5652,0.7642071759259259,2.456484375,1.0267006331407618
BROOKLYN,04 BROOKLYN,3615,0.9273379629629629,3.9472337962962962,1.0198135198135199
MANHATTAN,12 MANHATTAN,9558,1.4313483796296298,3.467057291666667,1.0074074074074073
MANHATTAN,10 MANHATTAN,8697,1.062037037037037,4.042465277777778,1.0073805905243238
BROOKLYN,06 BROOKLYN,3227,0.8904861111111111,3.108443287037037,1.0017482517482517
BROOKLYN,15 BROOKLYN,3761,0.9888888888888889,3.6122916666666662,1.0008741258741258
MANHATTAN,08 MANHATTAN,5017,0.8656944444444444,3.1426620370370366,1.0
BROOKLYN,05 BROOKLYN,6773,1.2383449074074073,5.046099537037037,0.9925925925925926
BRONX,11 BRONX,5657,1.1198842592592593,3.131782407407407,0.991439065872029
QUEENS,06 QUEENS,3105,0.9346875,3.045474537037037,0.9851851851851853
BROOKLYN,07 BROOKLYN,3805,0.9094212962962963,2.839328703703704,0.9851851851851853
QUEENS,02 QUEENS,3956,0.846099537037037,2.6187239583333333,0.9772122892519068
BROOKLYN,17 BROOKLYN,6700,1.2501967592592593,4.081032986111111,0.9663515081598498
BRONX,09 BRONX,6682,1.1852719907407407,3.280023148148148,0.9501227853953704
BROOKLYN,16 BROOKLYN,3145,0.8771180555555556,3.436377314814815,0.9407407407407408
BRONX,02 BRONX,3201,1.362511574074074,4.861585648148148,0.9404786528141955
BROOKLYN,18 BROOKLYN,4424,0.9397627314814815,3.2478819444444444,0.933749430591721
BROOKLYN,10 BROOKLYN,3676,0.9508043981481482,2.821134259259259,0.9327829583350911
STATEN ISLAND,01 STATEN ISLAND,5736,1.0555555555555556,4.1418692129629635,0.9277785880345601
BRONX,08 BRONX,4872,0.9377546296296295,3.1276967592592593,0.9191106061255698
MANHATTAN,07 MANHATTAN,5900,0.9067997685185185,3.0471238425925926,0.9168096208089942
MANHATTAN,04 MANHATTAN,4584,0.7856076388888888,3.0575520833333334,0.9133276694893839
QUEENS,14 QUEENS,3834,0.9144155092592592,3.2926620370370374,0.9098193473193473
STATEN ISLAND,02 STATEN ISLAND,3826,0.7747916666666665,2.7349363425925928,0.9055245262103222
BROOKLYN,03 BROOKLYN,5883,0.8780787037037037,3.525462962962963,0.9027640812359758
MANHATTAN,02 MANHATTAN,3092,0.7202893518518518,2.557835648148148,0.8996522691791128
MANHATTAN,09 MANHATTAN,5986,1.0534085648148148,3.495810185185185,0.8992481740666628
MANHATTAN,05 MANHATTAN,3026,0.7675636574074074,1.9953819444444445,0.8864237139994458
MANHATTAN,06 MANHATTAN,3131,0.8791666666666668,2.9160416666666666,0.872647274505011
MANHATTAN,01 MANHATTAN,1923,0.6381944444444444,1.89890625,0.8638474700562209
BROOKLYN,13 BROOKLYN,2584,0.9085069444444445,4.138645833333333,0.8630486686989702
STATEN ISLAND,03 STATEN ISLAND,3920,0.7743055555555555,2.7456394675925924,0.8528640559380929
MANHATTAN,03 MANHATTAN,4948,0.3223611111111111,2.3517332175925922,0.8521935623652808
MANHATTAN,11 MANHATTAN,4720,0.5386863425925925,3.0624074074074077,0.8518518518518519
BRONX,03 BRONX,4613,1.0687499999999999,4.917175925925926,0.8446969696969696
BRONX,07 BRONX,9972,1.0168460648148148,2.787488425925926,0.8372248122248123
MANHATTAN,64 MANHATTAN,203,0.13125,1.7918402777777778,0.6962962962962963
