strategy,flagged_share,flagged_n,slow_cases_captured,slow_case_capture_rate,vulnerable_flagged_share,vulnerable_slow_capture_rate,median_days_after,p75_days_after,total_days_saved
random_priority,0.1,29164,7315,0.10032504491654437,0.2548004388972706,0.10147684605757197,0.9561226851851852,3.24162037037037,23284.78623379629
slow_type_priority,0.1,29164,23761,0.3258815300426536,0.34947195172130024,0.42287859824780977,0.9665625000000001,3.226168981481482,72467.50706944443
risk_priority,0.1,29164,24303,0.3333150466994912,0.3193663420655603,0.39249061326658324,0.9667939814814814,3.2250694444444448,77043.92283333333
optimal_efficiency,0.1,29164,24303,0.3333150466994912,0.3193663420655603,0.39249061326658324,0.9668055555555556,3.2250694444444448,77044.16852083332
constrained_fair_optimal,0.1,29164,23876,0.3274587522115398,0.6048210122068304,0.7145431789737171,0.9656481481481483,3.232569444444444,79476.0283472222
random_priority,0.2,58329,14652,0.20095181929148437,0.25294450444890193,0.2032540675844806,0.9402685185185186,3.183611111111111,46985.40591435184
slow_type_priority,0.2,58329,43130,0.5915268882092357,0.36295839119477447,0.783028785982478,0.9541666666666666,3.163113425925926,145614.92640277775
risk_priority,0.2,58329,46012,0.6310534472590622,0.3413224982427266,0.7993491864831039,0.9597916666666667,3.148287037037037,151259.6889259259
optimal_efficiency,0.2,58329,45656,0.6261709160232057,0.3401738414853675,0.792991239048811,0.9592013888888888,3.145613425925926,149753.72009259256
constrained_fair_optimal,0.2,58329,45665,0.6262943508016403,0.35322052495328227,0.8122653316645807,0.9591435185185185,3.149097222222222,150176.1215949074
random_priority,0.25,72911,18294,0.2509017596313415,0.2534596974393439,0.25341677096370463,0.9314467592592592,3.1545486111111107,58582.71964814814
slow_type_priority,0.25,72911,44124,0.6051595737385651,0.36654277132394286,0.7948936170212766,0.9396064814814814,3.1139259259259258,150817.16147916665
risk_priority,0.25,72911,52493,0.7199402027073362,0.29435887588978343,0.8331414267834794,0.9546296296296296,3.098611111111111,165778.41469907406
optimal_efficiency,0.25,72911,52143,0.7151399613237694,0.2918489665482575,0.827584480600751,0.952337962962963,3.0983101851851855,164249.953537037
constrained_fair_optimal,0.25,72911,51121,0.7011232564837546,0.350002057302739,0.8684355444305382,0.952025462962963,3.0940393518518516,162712.48095601847
