feature,coef,abs_coef
complaint_type_UNSANITARY CONDITION,1.3008035420630897,1.3008035420630897
complaint_type_Noise - Residential,-1.0738310934773918,1.0738310934773918
complaint_type_Traffic Signal Condition,-0.42610337932886444,0.42610337932886444
complaint_type_Street Light Condition,0.24479377726925566,0.24479377726925566
complaint_type_HEAT/HOT WATER,-0.17088754034226064,0.17088754034226064
created_month_num_9,0.17086092220991642,0.17086092220991642
created_dow_4,0.16946015844465773,0.16946015844465773
created_month_num_8,0.16766845302532044,0.16766845302532044
complaint_type_Street Condition,0.1622247550213095,0.1622247550213095
created_dow_1,-0.14461511926479284,0.14461511926479284
created_dow_5,0.13867739796686152,0.13867739796686152
created_dow_0,-0.12089963065015666,0.12089963065015666
created_month_num_2,-0.11759766596883287,0.11759766596883287
created_month_num_1,-0.11754861289238087,0.11754861289238087
created_month_num_7,0.11009147867798671,0.11009147867798671
created_month_num_5,0.09448007318799961,0.09448007318799961
created_month_num_3,-0.08163940276001223,0.08163940276001223
created_dow_3,0.08119591532721525,0.08119591532721525
created_month_num_6,0.061845819374181356,0.061845819374181356
created_dow_6,-0.0614968611380653,0.0614968611380653
created_dow_2,-0.059422651312555114,0.059422651312555114
created_hour_7,-0.053104619610593644,0.053104619610593644
created_hour_8,-0.04909490602723236,0.04909490602723236
borough_BRONX,-0.04594323923495069,0.04594323923495069
created_hour_9,-0.043119183215310455,0.043119183215310455
